Transaction_ID,User_ID,Merchant_ID,Transaction_Amount,Transaction_Hour,Transaction_Day,Transaction_Month,Location_Lat,Location_Lon,Device_Type,Transaction_Type,Previous_Transaction_Days,Days_Since_Card_Issued,Fraud
TXN000027,2793,1950,2064.9159265953012,15,22,10,32.85850382354455,83.40541057973248,Desktop,Online,18,1055,0
TXN000028,4092,1942,238886.49326261212,4,22,8,-55.39487413374647,-118.88604144639595,Mobile,Online,0,6,1
TXN000029,3688,485,4857.383549332816,13,3,6,26.520735310443342,72.58648829369388,Desktop,Online,12,191,0
TXN000030,1562,144,1933.2291469678985,11,11,11,26.298223547250494,74.46902428292023,POS,Online,21,2592,0
TXN000031,3312,834,3754.3113940343737,16,28,6,16.49406415791239,96.36789273889669,Mobile,In-Store,20,608,0
TXN000032,548,379,3149.7198380962814,19,16,8,10.618908989489274,87.85234676931948,POS,Online,19,3347,0
TXN000033,51,972,2463.0999707642445,8,7,2,27.17633710627182,74.51393014700213,Mobile,Online,11,1338,0
TXN000034,322,1542,1390.7096855908771,15,12,3,15.08997540032804,74.22721022128641,Mobile,Online,18,2847,0
TXN000035,344,1730,3304.9962351070053,0,15,5,15.398167635748885,79.50409126163633,Mobile,In-Store,0,3071,0
TXN000036,3268,1994,352.75744458684903,22,8,3,31.339737562299746,85.19774355547682,Desktop,Online,22,662,0
TXN000037,1177,1201,2542.542736200245,0,7,10,14.144655656445327,93.34474299229167,POS,In-Store,28,2103,0
TXN000038,4546,1529,374.6965479183451,3,8,10,73.27147753196715,116.04080700553709,Mobile,Online,0,57,1
TXN000039,1719,370,4693.438602613726,17,9,4,23.97967632787448,68.6562997066358,Mobile,In-Store,7,1172,0
TXN000040,2128,227,841.4795992613667,22,21,10,22.983372498111315,89.30988835419579,Mobile,Online,16,3063,0
TXN000041,1489,700,6805.238604825222,23,25,12,11.757606206326722,88.78016789357383,Desktop,In-Store,17,3037,0
TXN000042,2827,1593,804.8676675278032,10,26,2,28.444430847020026,69.0966193814399,Mobile,In-Store,26,2313,0
TXN000043,2093,11,2284.992001540743,19,19,1,34.385105034273195,87.63478787316886,Desktop,Online,10,448,0
TXN000044,1823,1405,6444.208157610207,16,13,11,32.89701580667995,89.29605552319398,Mobile,Online,29,1636,0
TXN000045,1260,378,1386881.9972475583,1,6,7,89.73030914157579,168.87106204997968,ATM,ATM_Withdrawal,141,56,1
TXN000046,3083,947,4640.403024056401,13,24,4,27.27862795768636,75.71976209353029,Desktop,Online,14,2038,0
TXN000047,1085,1727,493.13488988470135,23,28,9,27.232906295893393,86.29205614922606,Mobile,Online,22,1460,0
TXN000048,4721,1029,2359.235592408496,19,8,12,11.398689079929444,73.31193833801686,Mobile,Online,20,3167,0
TXN000049,1027,904,1853.404598802234,20,28,4,9.537346488270968,81.44944662767966,Desktop,Online,17,1501,0
TXN000050,2345,919,3690.3963761109826,22,4,6,19.857374351797915,71.25295887756607,POS,In-Store,29,3361,0
TXN000051,220,1898,5774.6552490412505,7,18,9,33.67376028063068,79.63531778260975,POS,Online,8,2563,0
TXN000052,3749,47,77.35485674954043,10,5,2,21.69699722612855,89.07167025635151,Desktop,In-Store,20,3418,0
TXN000053,787,856,1560.8585624368834,19,18,3,25.626796751303285,81.3246720339919,Mobile,In-Store,0,432,0
TXN000054,768,1085,1068.2802490792267,20,8,1,25.451774194058956,95.54388130432383,POS,Online,12,2632,0
TXN000055,1424,493,66.48548646150266,8,8,1,20.625743485789478,93.82262653843803,Desktop,Online,23,691,0
TXN000056,3310,467,1980.446073107881,8,12,2,13.242440580653543,84.21840072054867,Mobile,Online,17,917,0
TXN000057,899,1131,3883.8127328502196,22,10,11,20.472465384089514,90.6991915360973,Mobile,Online,13,2266,0
TXN000058,2294,881,6395.884115785964,0,5,8,18.648768853372303,91.74482733626962,Mobile,Online,9,2306,0
TXN000059,3294,1853,875.9474865383843,18,21,2,29.83771651635413,90.56015504365295,Desktop,In-Store,12,1676,0
TXN000060,3092,1639,3330.8132259901968,14,15,5,24.98718007035952,76.4104713809509,POS,Online,0,3198,0
TXN000061,3492,8,3245.0820652747407,8,24,1,13.224354807677852,82.24432326246743,POS,In-Store,10,3264,0
TXN000062,1324,917,2105.2272386266472,8,16,4,12.971878328014784,92.80182144598464,Desktop,In-Store,16,180,0
TXN000063,3242,688,2156.0246011555546,0,11,3,29.85992621412158,95.42870560544563,Mobile,Online,14,2046,0
TXN000064,4430,412,4847.419062282837,19,15,1,26.777149956772636,92.00984806656987,POS,Online,17,398,0
TXN000065,397,104,3224.111855081922,18,23,10,16.066848139878324,76.98004832768682,Desktop,In-Store,2,253,0
TXN000066,2146,11,268.6422714994287,8,21,8,14.82158385204691,95.42806219230978,Desktop,Online,7,3478,0
TXN000067,1870,914,2608.5192265996643,9,11,12,26.12836950514955,73.8109373241368,POS,In-Store,1,2381,0
TXN000068,3176,612,3695.282361958646,0,3,9,29.550632821300155,70.27311316829467,POS,Online,21,139,0
TXN000069,1598,72,1757184.3621405424,5,18,6,-25.82092217016462,9.961900837302608,ATM,ATM_Withdrawal,65,59,1
TXN000070,4223,910,856.9404059195892,22,14,2,20.77211120329259,81.57840884190277,Desktop,Online,19,2252,0
TXN000071,2382,1718,1487.5200753162674,11,20,6,19.00097407122091,96.88901696761542,Mobile,In-Store,23,3242,0
TXN000072,3205,1337,2593.6106838598803,0,19,3,30.041285269819767,93.92615161040699,Mobile,Online,19,733,0
TXN000073,2451,1176,2037.5757118176011,15,17,4,32.87974125304762,86.99812464363931,Mobile,In-Store,1,3412,0
TXN000074,2669,941,4641.290308831182,18,28,2,14.021499397268677,92.61749571193249,Desktop,Online,3,3228,0
TXN000075,4548,203,5620.266481117851,18,11,3,22.63910358945818,96.11267511823367,Desktop,Online,12,1842,0
TXN000076,734,442,1439.242056905939,0,10,9,27.751081436601513,90.05151155049968,POS,In-Store,16,239,0
TXN000077,2949,116,4055.7852578763463,22,28,11,11.781016521705112,87.5729185877492,POS,In-Store,8,3448,0
TXN000078,4188,1616,3708.42069446369,13,13,4,28.00104844033085,71.77509315543276,POS,Online,14,1413,0
TXN000079,4022,52,1232.0974156714146,22,27,11,8.599511197923718,83.85641465865409,Mobile,Online,29,1777,0
TXN000080,89,1346,5455.747741158709,7,16,11,25.6366231875466,82.35919125227201,POS,Online,7,2905,0
TXN000081,4101,1838,822.9184005665379,17,8,11,23.492237623909354,91.51063822212632,Desktop,Online,9,3032,0
TXN000082,2524,1872,1751.842716569866,13,7,1,23.686752513063496,96.55497500715748,Mobile,In-Store,28,1955,0
TXN000083,1234,41,6207536.499454336,5,23,1,67.16347060608814,-177.72721383819572,ATM,ATM_Withdrawal,167,12,1
TXN000084,3482,579,5608.820723426732,8,19,1,33.48569803373514,80.8125724010661,POS,Online,22,2197,0
TXN000085,1023,618,2645.382614501712,20,6,12,25.87144104342098,75.06101007091705,Mobile,Online,4,3590,0
TXN000086,1226,616,2841.9859989552097,21,25,12,27.212243059614387,92.48086860832315,Desktop,In-Store,2,2246,0
TXN000087,4463,1988,4866.051369540227,10,27,1,19.443930798014325,96.861358961691,Mobile,In-Store,27,2045,0
TXN000088,1952,81,1268.1239214571085,12,17,4,29.441007943887186,76.74526359719138,Mobile,Online,5,1272,0
TXN000089,1732,162,2956.1482420131447,16,25,12,11.34538065754386,79.09617325821753,Desktop,Online,3,2448,0
TXN000090,1131,1217,5280.125451514854,7,23,9,8.62533889998059,77.49439581026797,Desktop,Online,14,389,0
TXN000091,2240,1604,70.97496146929188,9,21,7,18.014678350668902,81.85648611402372,Mobile,Online,5,1721,0
TXN000092,4070,736,4588.119941577564,10,12,10,9.740869710944057,78.08423053355945,Desktop,Online,13,2379,0
TXN000093,4279,516,3530.4050272078066,13,15,4,9.867306527958519,69.69824080052639,Desktop,Online,19,1627,0
TXN000094,547,1303,4942.5618316117025,13,7,4,17.66148178804525,79.04113643803312,Mobile,In-Store,9,83,0
TXN000095,2138,1039,4907.248769536252,13,14,9,28.77966373475068,80.88379356123889,Mobile,Online,22,1242,0
TXN000096,1330,538,1399.3785613348984,20,4,5,23.83701787407794,88.43648843648893,Mobile,In-Store,27,2609,0
TXN000097,3716,495,1926.5067813468595,10,14,8,22.588593703240683,93.0305151336047,Desktop,Online,0,1145,0
TXN000098,1947,1394,6889606.202918944,2,23,2,23.322921455789213,173.94430667684827,ATM,ATM_Withdrawal,80,15,1
TXN000099,3507,1829,4756.978073043569,8,6,1,22.28086005243688,89.22253065737624,POS,Online,24,366,0
TXN000100,2105,356,6413.85512069395,21,10,11,34.95661611413685,95.11851502015165,Mobile,Online,23,3465,0
TXN000101,3013,926,2065.733815694979,12,20,5,25.31054638188422,71.22829815320002,Mobile,Online,6,3386,0
TXN000102,2345,1172,1661.998980457875,19,21,10,33.152551252121825,74.26640188238626,Desktop,In-Store,11,1627,0
TXN000103,843,667,909.354605110803,0,19,10,15.715909727214232,70.46185058564967,Mobile,Online,18,1784,0
TXN000104,1478,330,1932.1270119386736,23,17,10,14.372230963952173,96.97386895387163,Mobile,Online,20,2085,0
TXN000105,4701,409,2451.4381203235994,21,2,5,27.47984447554302,86.22673589538783,POS,In-Store,27,1466,0
TXN000106,664,72,950.4371900265091,7,1,12,17.2365536259721,91.63950216491412,POS,Online,16,857,0
TXN000107,3337,482,3843.465400635341,20,19,9,30.318161009294986,72.27870452003832,POS,In-Store,14,3483,0
TXN000108,1039,922,50.0,20,5,3,34.31279367549969,90.74640055741027,Mobile,Online,21,2380,0
TXN000109,1988,1535,2323.8156554506313,7,12,12,23.181731765338085,80.16093078321573,Mobile,Online,13,782,0
TXN000110,3548,654,3877.796119931294,7,13,6,13.470374243150076,84.88291299201478,Mobile,In-Store,9,428,0
TXN000111,1707,1881,705.9318887189729,11,15,11,26.081939933874096,81.38178676475627,Mobile,Online,24,1288,0
TXN000112,604,1866,57.441431243382794,21,1,5,23.547027530293086,69.78992969907873,Desktop,Online,6,3479,0
TXN000113,1733,539,2119626.250412006,2,8,4,45.909803073215016,-145.50121605889765,Mobile,ATM_Withdrawal,50,28,1
TXN000114,2811,1651,2567.121285631891,13,22,3,31.188523673875103,80.66771500097975,Mobile,Online,29,2940,0
TXN000115,931,1375,805.1603660466926,10,8,3,17.124055058823437,68.03208327977107,POS,Online,22,2925,0
TXN000116,4839,1685,3412.0039703793263,11,12,9,8.7843542555594,83.99015525137861,Mobile,Online,16,1056,0
TXN000117,1437,1331,1169.4055199966745,14,24,3,14.903215928273427,80.86695200650618,Mobile,Online,19,3449,0
TXN000118,4640,1386,6385.860842342795,23,19,2,12.06458691539543,75.58706593832467,Mobile,Online,9,1193,0
TXN000119,3998,1791,5545.792138739984,16,24,11,26.535146262133004,80.90919838943526,Mobile,Online,21,103,0
TXN000120,1252,1238,1291.7266196654673,17,15,12,22.924719034959807,88.73130595895263,Mobile,In-Store,27,2330,0
TXN000121,2339,1157,3422.736631834043,18,7,11,29.533492087248263,88.45041705602894,Mobile,Online,4,44,0
TXN000122,2611,1692,2194.501572308354,20,11,11,22.025617038782343,78.88878428348417,POS,Online,7,3449,0
TXN000123,2377,1268,2171.792057654275,18,17,12,21.876516810426484,89.16901756160412,Mobile,In-Store,25,3407,0
TXN000124,2274,893,2578.058412058586,16,4,6,22.709995399799553,85.29191999662979,Desktop,In-Store,27,532,0
TXN000125,1338,898,2814.873820705267,19,3,1,10.320631936793133,95.95245780770708,Mobile,Online,13,1404,0
TXN000126,2830,1860,702.7198952160195,23,3,2,19.799544106497073,94.09659544571718,Desktop,Online,23,2572,0
TXN000127,1537,1780,1290.1628005163038,20,14,8,28.817363079851653,70.9182905838449,Mobile,In-Store,20,2002,0
TXN000128,4854,469,5076.568830357325,8,6,2,22.29379530261593,87.40535797904158,Desktop,Online,12,444,0
TXN000129,4889,26,2263.2455743936853,14,19,8,29.909644297871033,85.98186069207333,Mobile,In-Store,11,3063,0
TXN000130,1938,858,1874.3426851441886,13,12,4,17.431271964512096,78.83988188382052,POS,In-Store,19,993,0
TXN000131,4910,788,383.98685446679383,9,11,10,10.258445565599299,78.55810797535486,POS,Online,22,3160,0
TXN000132,721,1348,1422.4319604647228,16,7,4,16.39801979521031,93.13817004370284,POS,In-Store,10,427,0
TXN000133,1610,1635,1834.4731431611503,11,10,12,27.136166183400316,91.0721859925656,POS,Online,15,1528,0
TXN000134,3086,29,941.0179757557685,21,24,8,11.618377730093396,78.1154682751775,Desktop,In-Store,28,3565,0
TXN000135,4801,669,2175.9961143568953,8,9,9,26.484845243826406,70.21731696212036,Mobile,Online,17,2572,0
TXN000136,3465,1004,6202.967695125801,21,22,5,33.178111677141985,71.59792829213092,Mobile,In-Store,26,1099,0
TXN000137,3885,1516,2243.6980119292807,12,12,2,18.16104181795825,93.96568074453194,Mobile,In-Store,6,816,0
TXN000138,3800,12,5406.171866608924,12,2,10,29.118149264554315,94.63844073888833,Mobile,In-Store,6,684,0
TXN000139,2465,1856,5948.236769951611,11,7,8,23.862386502134875,74.95191718057403,Mobile,Online,7,2570,0
TXN000140,3633,1528,1182.842611471528,17,18,10,32.19567569379028,95.03186250861596,Desktop,Online,17,2142,0
TXN000141,1588,92,3708.4658577206496,18,24,8,26.170305340579972,85.44694476621888,Mobile,Online,7,594,0
TXN000142,4806,551,2719.2803883146657,23,24,9,31.569067073704396,87.41781492803878,Mobile,Online,22,2640,0
TXN000143,2695,887,3051.894197200013,21,10,4,8.695426757542487,76.75742978776388,Desktop,In-Store,25,1761,0
TXN000144,3233,490,1588.3951872029827,10,4,5,10.477295438842575,77.14588769472793,Mobile,Online,24,450,0
TXN000145,696,1677,869.7723462154795,12,8,1,20.98844913636189,75.36839389523476,Desktop,Online,17,1713,0
TXN000146,141,870,1620.5458002788641,13,1,10,16.029058145116792,84.19531892873272,Mobile,Online,25,324,0
TXN000147,56,894,1628.1718854008636,21,25,12,19.78985742071155,78.22106358382368,POS,Online,28,1623,0
TXN000148,581,754,4799.545180237008,13,22,4,31.435221725170656,72.96418959758236,Mobile,In-Store,7,1280,0
TXN000149,4197,750,3617.5476843238034,19,1,4,22.546449808560197,78.73362176837296,Mobile,In-Store,29,1812,0
TXN000150,4805,649,2096.757403551431,14,23,6,33.35403543416422,68.92042595597206,Mobile,Online,20,1612,0
TXN000151,4572,199,2704.8794314583088,17,8,4,10.535807906788591,92.30800543539657,Mobile,In-Store,6,1840,0
TXN000152,2742,1584,6931.901878553389,15,22,2,9.49911330471343,71.77990662479979,POS,In-Store,20,2396,0
TXN000153,1653,319,74.90803227992699,3,7,5,69.24226282911786,-122.52777118620415,Mobile,Online,0,30,1
TXN000154,4240,1769,5180.416193960542,23,22,6,16.436533907842293,81.4588876306597,Desktop,In-Store,5,1065,0
TXN000155,4023,1003,2558.48532771922,14,11,3,15.165220752726931,73.95184326265658,Desktop,Online,5,2716,0
TXN000156,3791,1846,2746.144958486275,17,14,10,29.829505589924274,87.24939570115833,Mobile,In-Store,15,777,0
TXN000157,4118,182,6477.489332518888,13,22,3,33.70683530965551,83.12469162158273,POS,In-Store,1,3284,0
TXN000158,518,1092,2109.8511853237023,18,8,10,11.275851264570486,71.94707262876412,Mobile,In-Store,3,1860,0
TXN000159,4906,1233,4039.393116521819,10,5,5,14.127133383497409,87.0717217623198,Mobile,In-Store,3,2158,0
TXN000160,2244,1199,1525.6154671194674,21,12,7,23.22808561005641,77.7019186308212,POS,In-Store,21,2985,0
TXN000161,1714,304,3607.5300558652916,9,27,2,29.993469207067065,72.6809167945098,POS,Online,4,2534,0
TXN000162,3281,427,291707.8390170829,2,18,5,-32.44895101154525,105.7807288344261,Mobile,Online,0,17,1
TXN000163,1761,532,4073.0644559997136,10,21,2,12.994213443438234,94.13779373897107,Mobile,In-Store,10,2022,0
TXN000164,4024,508,267.99697076572374,22,6,10,32.17032511188735,84.48716059753431,Mobile,In-Store,24,345,0
TXN000165,693,1455,1932.9152371543755,13,26,11,8.79997762790762,91.3327919264736,Desktop,Online,6,522,0
TXN000166,4195,1616,4798.15237396556,21,26,4,13.554296216943742,89.29921879736801,Mobile,In-Store,19,2515,0
TXN000167,614,1106,5946.090861941747,19,26,5,19.408166302843668,82.6916483887917,Desktop,Online,6,2598,0
TXN000168,1330,1328,1431.353837762733,12,4,1,21.786258917957632,76.39905171812677,Mobile,In-Store,0,2674,0
TXN000169,1994,1378,1673.8499000328002,15,15,2,19.63546396874232,81.62794339447298,Mobile,Online,15,3531,0
TXN000170,4081,849,414.127321404133,22,10,4,18.658644356078327,85.31789025688454,Mobile,In-Store,18,435,0
TXN000171,3359,1651,3565.235648603677,15,14,7,12.594173911180555,95.4421710680048,Mobile,Online,26,3501,0
TXN000172,1751,254,4778.253370784519,10,9,9,25.04405994876463,76.19194686426401,Desktop,In-Store,27,1294,0
TXN000173,830,1245,3199.3727722324857,19,2,2,19.38720893181448,71.74739467556144,POS,Online,5,2826,0
TXN000174,353,1235,4977.791743552574,7,17,12,28.579971399283064,68.96221461295896,Mobile,Online,4,2919,0
TXN000175,1603,933,417.67081612802485,14,26,5,25.66534972250907,96.04329980202431,Mobile,Online,2,88,0
TXN000176,1894,202,3400131.669791563,0,1,4,-35.866382900458014,109.33169683609384,ATM,ATM_Withdrawal,163,84,1
TXN000177,3287,766,404.31208244538436,3,18,8,-11.715327416711006,54.715559684553426,Mobile,Online,0,56,1
TXN000178,4439,855,1166.2198118829597,23,10,3,33.395676715771614,94.49883708400631,Mobile,Online,20,45,0
TXN000179,3283,1335,3030.1669012433385,18,17,12,19.574980587590584,81.11339068150976,Mobile,Online,22,3104,0
TXN000180,1651,389,6888.82364499005,14,12,5,27.193812200127894,72.37827299998577,POS,In-Store,19,3069,0
TXN000181,1987,591,2088.378001122631,21,21,1,10.87920214395638,81.99556247650197,Mobile,In-Store,20,2585,0
TXN000182,987,525,7300664.283828615,3,9,11,11.248293847649364,146.14056247454363,ATM,ATM_Withdrawal,153,63,1
TXN000183,4459,1983,1481.052019906336,21,17,7,14.832975970066773,71.07607598212783,Mobile,Online,14,1629,0
TXN000184,2120,339,494.0675418199798,1,18,6,-3.4960838469166475,-110.27849360539123,Mobile,Online,0,14,1
TXN000185,1400,1974,839.2128611853634,22,28,7,16.301689740440192,76.2944547139259,Mobile,In-Store,21,3155,0
TXN000186,3795,70,1556.4897111161908,18,2,4,29.531611938649146,77.12886533635273,Mobile,Online,4,3141,0
TXN000187,4051,1845,634.0639947590871,11,17,1,15.875647070176862,83.03750125773189,POS,Online,4,685,0
TXN000188,3423,884,4361.557488649326,0,13,9,30.537891211096703,91.06110283244033,Desktop,In-Store,18,2968,0
TXN000189,4577,967,863.7856479930874,17,26,3,23.449075261151478,86.12515186516173,Mobile,In-Store,8,2348,0
TXN000190,500,1510,3221.3069471105086,17,25,5,28.369171585263818,88.56470548284821,Desktop,In-Store,22,2187,0
TXN000191,3380,1631,1447.2670978591577,18,1,8,15.61457705598724,80.59738198153687,Mobile,Online,7,2780,0
TXN000192,2053,1193,282.85735920965544,19,12,6,9.905093996635966,77.68977537066078,POS,Online,8,1546,0
TXN000193,2864,932,1287.8257803653632,20,9,10,20.389077478540585,71.69999956991634,Mobile,Online,1,2229,0
TXN000194,790,756,4476.544671834297,16,22,11,19.732188572311813,81.8928457043572,Desktop,In-Store,10,66,0
TXN000195,4137,1584,2491.192664667958,22,16,11,14.220374530311656,80.2214248824254,POS,Online,2,2403,0
TXN000196,3288,1428,4631.354242331157,12,24,11,23.99232359729178,87.68786487364117,Desktop,In-Store,5,354,0
TXN000197,2195,1866,3888.462460114554,20,10,6,21.4574951417384,73.39265956913043,Mobile,Online,4,2732,0
TXN000198,2051,1176,4388.097069366808,14,1,2,30.192474105945713,85.11466227199301,Mobile,In-Store,24,2987,0
TXN000199,3523,109,2835.582258077565,9,23,5,8.803858616470926,93.21069142916959,Mobile,Online,15,613,0
TXN000200,2950,1082,2965.549983513179,15,22,5,12.437472146675153,71.28544803017196,Desktop,In-Store,19,1666,0
TXN000201,1960,1245,5981.338366669651,7,23,4,30.12694102117065,73.7139400652609,Desktop,Online,2,1438,0
TXN000202,1469,567,6260.885636057261,23,16,10,29.5602706969512,71.07103216194808,POS,Online,18,2227,0
TXN000203,770,54,3990.8405654284093,9,17,6,14.945973740171416,75.74516583416104,Desktop,Online,16,604,0
TXN000204,4853,1652,2165.768393299341,15,11,1,11.192485902058307,75.18440045498676,Desktop,Online,5,3189,0
TXN000205,4313,1179,3432.739181038446,15,10,6,24.702101719039568,76.17863209372376,Mobile,In-Store,14,3513,0
TXN000206,2697,88,7706.441925042779,12,23,8,26.186247432434264,70.9680902910702,Mobile,Online,6,718,0
TXN000207,4751,1135,680.5767899318057,11,9,11,25.276276011022144,70.54079925557522,Mobile,Online,5,1832,0
TXN000208,1450,1436,6412.740641709923,17,25,2,10.665343878927219,69.20953093460562,Mobile,In-Store,5,3244,0
TXN000209,1528,646,2981.549786282034,18,10,6,29.67689698981766,77.75408925428171,Desktop,Online,28,998,0
TXN000210,621,1130,1770.136771026202,13,3,2,14.05250465292102,82.6654114733881,Mobile,Online,28,1621,0
TXN000211,1793,299,331.78372073846504,15,23,7,12.318599950442866,88.53000334671856,Desktop,Online,26,119,0
TXN000212,126,1652,5316.086821856957,10,16,12,27.35987625312627,68.30996707485602,Mobile,Online,27,3607,0
TXN000213,3561,1887,1550.2686009949798,15,25,10,19.025434542748403,82.09906796480962,Desktop,Online,26,2163,0
TXN000214,4215,485,7879.212119194925,8,2,10,28.3366578952891,83.4558142896224,POS,Online,23,1935,0
TXN000215,2538,1914,615.0405926563376,20,11,3,14.411435525524771,83.33446231543157,Mobile,In-Store,18,58,0
TXN000216,1659,857,3374.7522863006957,13,23,11,29.792558797404425,77.77991456103506,POS,In-Store,21,3382,0
TXN000217,3972,741,1112.3888944659682,22,19,5,31.864597457560492,90.96243645974134,Desktop,In-Store,14,1584,0
TXN000218,225,435,4233.043441683933,15,8,8,12.183407778352423,71.5416002691728,Mobile,Online,4,1581,0
TXN000219,1001,1469,2490.045576455028,23,16,7,17.737490187091545,94.37029295970859,Desktop,In-Store,17,2747,0
TXN000220,450,1131,2514.6300223232793,21,27,6,27.541097274662146,89.90794879451346,Mobile,Online,29,1261,0
TXN000221,2778,1157,2605.1494418474767,0,25,9,17.543141649682898,77.59685717665074,POS,In-Store,23,231,0
TXN000222,326,98,2044.5379425869937,19,7,4,26.360697248546934,89.75450811284693,Desktop,Online,0,2026,0
TXN000223,4077,408,8011.320153877699,15,19,7,25.41391609525777,69.02468486805611,Desktop,Online,8,1346,0
TXN000224,2236,1846,209.48773665722774,12,12,1,18.240374563554173,91.21959516634402,Mobile,Online,24,42,0
TXN000225,2580,1263,2055.0360941525855,20,16,3,27.887801163667095,74.6026066079553,Mobile,Online,0,2242,0
TXN000226,3729,98,2466.7939961398333,13,23,5,34.50555964074336,93.10686790722366,Mobile,Online,7,1389,0
TXN000227,3732,1762,988.8718799795115,22,2,9,20.27218352037376,75.66239039638548,Mobile,In-Store,21,2189,0
TXN000228,2244,36,3817.2884315410947,11,22,9,19.058293609625373,73.75289133554621,POS,Online,2,2585,0
TXN000229,1231,1330,2846.305725605027,11,22,5,31.508415467740374,86.37789653549869,Mobile,Online,8,1459,0
TXN000230,3411,929,1447.4570164584827,12,13,6,23.084679634251373,77.50515215995662,Mobile,Online,23,2139,0
TXN000231,1325,444,4957.173798003187,15,25,5,8.911330563839401,84.59754792670711,POS,Online,14,736,0
TXN000232,1000,1909,3504.0562554781454,9,23,5,12.497661405774432,82.52999800322188,Mobile,In-Store,10,971,0
TXN000233,1621,1371,8237.537952050889,17,1,9,14.340585290010296,93.39375281116043,Mobile,Online,2,815,0
TXN000234,3863,399,1171.4613448088471,18,8,10,20.770364234370337,71.85662356934944,Mobile,Online,24,101,0
TXN000235,3454,1667,4254.194986952619,9,18,11,15.603956808702716,68.44593186317785,Mobile,In-Store,17,54,0
TXN000236,2434,1325,1152.0088207460572,21,7,2,21.29827078119065,92.33215307056554,Desktop,Online,16,2671,0
TXN000237,1845,1914,1368.357148782447,14,28,11,9.522561064523767,85.78769488870063,POS,Online,26,2464,0
TXN000238,4171,294,1873.8320509871119,8,9,5,10.613763123504633,76.6704115356613,POS,In-Store,23,3259,0
TXN000239,4766,1554,3057.149712947523,15,16,7,34.97378798836749,91.93936234569779,Desktop,Online,8,2605,0
TXN000240,3376,1539,7871468.938357201,3,14,11,-66.84579843614111,-77.84947646289035,ATM,ATM_Withdrawal,161,87,1
